country_name,country_id,area,residents,residents_capital,density,ZRIZENI,language,capital,money,SVETADIL
Kolumbie,CO,1141748.0,43775000.0,6696000.0,38.3,republika,španělština,Bogotá,1 kolumbijské peso = 100 centavů,Jižní Amerika
Komory,,1862.0,611100.0,42000.0,328.2,republika,"francouzština, komorština, arabština",Moroni,1 komorská frank = centimů,Afrika
Kongo,RCB,342000.0,3258400.0,1133000.0,9.5,republika,francouzština,Brazzaville,1 frank  CFA = 100 centimů,Afrika
Kongo (býv.Zair),ZRE,2344798.0,54995500.0,6301000.0,23.5,republika,francouzština,Kinshasa,1 konžský frank = 100 centimů,Afrika
Korejská republika,,99461.0,46651900.0,11153200.0,469.0,republika,korejština,Sōul,1 won = 100 čonů,Asie
Kostarika,CR,51090.0,4032000.0,327800.0,78.9,republika,španělština,San José,1 colón = 100 centimů,Severní Amerika
Kuba,C,114525.0,11730000.0,2328000.0,102.4,republika,španělština,La Habana,1 kubánské peso = 100 centavů,Severní Amerika
Kuvajt,,17818.0,1984000.0,32000.0,111.3,konstituční monarchie (emirát),arabština,Al-Kuwayt,1 kuvajtský dinár = 1000 filů,Asie
Kypr,CY,9251.0,814200.0,200500.0,88.0,republika,"řečtina, turečtina",Levkosia/Nikosia,1 kyperská libra = 100 centů,Asie
Kyrgyzstán,,199900.0,5177300.0,808900.0,25.9,republika,"kyrgyzšina, ruština",Biškek,1 som = 100 tijínů,Asie
Laos,LAO,236800.0,5428200.0,189500.0,22.9,republika,laoština,Viangchan,1 kip = 100 attů,Asie
Lesotho,,30355.0,2456500.0,169000.0,80.9,konstituční monarchie (království),"angličtina, sothština",Maseru,1 loti = 100 lisente,Afrika
Libanon,RL,10452.0,4003600.0,1147800.0,383.0,republika,arabština,Bayrūt,1 libanonská libra = 100 piastrů,Asie
Libérie,,99065.0,2776800.0,543000.0,28.0,republika,angličtina,Monrovia,1 libérijský dolar = 100 centů,Afrika
Libye,,1759540.0,6984400.0,1223300.0,4.0,republika (džamáhírija),arabština,Tarābulus,1 lybijský dinár = 1000 dirhamů,Afrika
Lichnštejnsko,FL,160.0,34100.0,6300.0,213.1,konstituční monarchie (knížectví),němčina,Vaduz,1 švýcarský frank = 100 rappů/centimů,Evropa
Litva,LT,65301.0,3495000.0,555500.0,53.5,reúpublika,litevština,Vilnius,1 litas = 100 centů,Evropa
Lotyšsko,LV,64589.0,2318400.0,725200.0,35.9,republika,lotyština,Riga,1 lat = 100 santimů,Evropa
Lucembursko,L,2568.0,446000.0,82000.0,173.7,konstituční monarchie (velkovévodství),"francouzština, lucemburština, němčina",Luxembourg/Lëtzebuerg,1 euro = 100 centů,Evropa
Madagaskar,RM,587041.0,14900700.0,875000.0,25.4,republika,"malgaština, francouzština",Antananarivo,1 madagaskarský frank = 100 centimů,Afrika
Maďarsko,H,93036.0,10022500.0,1858100.0,107.7,republika,maďarština,Budapest,1 forint = 100 filérů,Evropa
Makedonie,,25713.0,2095800.0,448600.0,81.5,republika,makedonština,Skopje,1 makedonský dinár = 100 deni,Evropa
