ID,name_en,name_cz,src_en,src_cz,desc_cz,desc_en,common,hard,hard_tol,spgrav,spgrav_tol,color,group_id,formula,test
176,Descloizite,Descloizit,,,,,0,,0,,0,,7,,
177,Devilin,Devillín,,,,,0,2.5,0,,0,"smaragdová, tmavě zelená",6,CaCu4(SO4)2(OH)6·3H2O,
178,A diabolite,Diaboleit,,,,,0,,0,,0,,3,,
179,Dialogue,Dialag,,,,,0,,0,,0,,8,,
180,Diamond,Diamant,,https://cs.wikipedia.org/wiki/Diamant,,,1,10,0,,0,bezbarvý,1,C,
181,Diaspora,Diaspor,,,,,0,6.85,0.35,,0,"bezbarvý, bílá, žlutá...",4,α-AlO(OH),
182,Diopside,Diopsid,,https://cs.wikipedia.org/wiki/Diopsid,,,1,6,0.5,,0,"světle až tmavě zelená, někdy nažloutlá až bezbarvá",8,MgCaSi2O6,
183,Dioptas,Dioptas,,,,,0,,0,,0,,8,,
184,Dolomites,Dolomit,,https://cs.wikipedia.org/wiki/Dolomit,,,1,3.75,0.25,,0,"bílá, hnědavá, ...",5,CaMg(CO3)2,
185,Ravage,Dravit,,https://cs.wikipedia.org/wiki/Dravit,,,1,7.25,0.25,,0,"světle až tmavě černohnědý, modrý, bezbarvý",8,NaMg3Al6(BO3)3Si6O18(OH)4,
186,Duphrenite,Dufrenit,,,,,0,,0,,0,,7,,
187,Smell,Duftit,,,,,0,,0,,0,,7,,
188,Dumortierite,Dumortierit,,,,,0,,0,,0,,8,,
189,Dundasit,Dundasit,,,,,0,,0,,0,,5,,
190,Durangite,Durangit,,,,,0,,0,,0,,7,,
191,Dysanalyte,Dysanalyt,,,,,0,,0,,0,,4,,
192,Dyscrasite,Dyskrasit,,,,,0,,0,,0,,2,,
193,Edingtonite,Edingtonit,,,,,0,,0,,0,,8,,
194,Egeran,Egeran,,,,,0,6.75,0.25,,0,hnědá až hnědozelená,8,"(Ca,Na)19(Al,Mg,Fe)13(SiO4)10(Si2O7)4(OH,F,O)10",
195,Aegirin,Egirin,,,,,0,,0,,0,,8,,
196,Elbait,Elbait,,https://cs.wikipedia.org/wiki/Elbait,,,1,7.25,0.25,,0,"bezbarvá, růžová, červená, zelená, modrá, žlutá, hnědá až černá",8,"Na(Li,Al)3Al6(BO3)3Si6O18(OH)4",
197,Embolitis,Embolit,,https://cs.wikipedia.org/wiki/Embolit,,,1,,0,,0,,3,,
198,Emplectite,Emplektit,,,,,0,,0,,0,,2,,
199,Enargite,Enargit,,,,,0,,0,,0,,2,,
200,Enigmatite,Enigmatit,,,,,0,,0,,0,,8,,
201,Enstatite,Enstatit,,https://cs.wikipedia.org/wiki/Enstatit,,,1,5.5,0.5,,0,"bezbarvá, šedá, bílá, žlutá, nazelenalá, nahnědlá, někdy tmavozelená",8,Mg2Si2O6,
202,Eosphorite,Eosforit,,,,,0,,0,,0,,7,,
203,Epidote,Epidot,,https://cs.wikipedia.org/wiki/Epidot,,,1,6.5,0.5,,0,"zelená, černozelená, žlutozelená, žlutá, černá",8,"Ca2Al2(Fe3+,Al)(SiO4)(Si2O7)O(OH)",
204,Epistilbite,Epistilbit,,,,,0,,0,,0,,8,,
205,Epsomite,Epsomit,,,,,0,,0,,0,,6,,
206,Erythrin,Erytrin,,,,,0,,0,,0,,7,,
207,Aeschynite,Aeschynit,,https://cs.wikipedia.org/wiki/Aeschynit-(Ce),,,1,,0,,0,,4,,
208,Eskolait,Eskolait,,,,,0,,0,,0,,4,,
209,Esmerald,Esmerald,,,,,0,,0,,0,,8,,
210,Ettringite,Ettringit,,,,,0,,0,,0,,6,,
211,Euchroite,Euchroit,,https://cs.wikipedia.org/wiki/Euchroit,,,1,3.5,0,,0,Smaragdově zelená,7,Cu2(AsO4)(OH)•3H2O,
212,Eudialyte,Eudialyt,,,,,0,,0,,0,,8,,
213,Eudidymite,Eudidymit,,,,,0,,0,,0,,8,,
214,Eukairite,Eukairit,,,,,0,,0,,0,,2,Cu2Se . Ag2Se,
215,Euclas,Euklas,,,,,0,,0,,0,,8,,
216,Eulytin,Eulytin,,,,,0,,0,,0,,8,,
217,Euxenite,Euxenit,,,,,0,,0,,0,,4,,
218,Evansite,Evansit,,,,,0,,0,,0,,7,,
219,Fairfieldite,Fairfieldit,,,,,0,,0,,0,,7,,
220,Pharmacolyte,Farmakolit,,,,,0,,0,,0,,7,,
221,Pharmacosideritis,Farmakosiderit,,,,,0,,0,,0,,7,,
222,Fassait,Fassait,,,,,0,5,0.5,,0,"světle až tmavě zelená, někdy nažloutlá až bezbarvá",8,MgCaSi2O6,
223,Fayalite,Fayalit,,,,,0,,0,,0,,8,,
224,Phenakite,Fenakit,,https://cs.wikipedia.org/wiki/Fenakit,,,1,7.75,0.25,,0,"bezbarvý, žlutý ...",8,Be2SiO4,
225,Ferberite,Ferberit,,,,,0,,0,,0,,6,,
226,Fergusonite,Fergusonit,,,,,0,,0,,0,,4,,
227,Ferrierite,Ferrierit,,,,,0,,0,,0,,8,,
228,Fibroferrite,Fibroferit,,,,,0,,0,,0,,6,,
229,Fiedlerite,Fiedlerit,,,,,0,,0,,0,,4,,
230,Phlogopite,Flogopit,,,,,0,,0,,0,,8,,
231,Fluorite,Fluorit,,https://cs.wikipedia.org/wiki/Fluorit,,,1,4,0,,0,"bezbarvá, bílá, fialová, zelená, vínově žlutá, modrá, hnědá, černá",3,CaF2,
232,Forsterite,Forsterit,,https://cs.wikipedia.org/wiki/Forsterit,,,1,,0,,0,,8,,
233,Phosphosiderite,Fosfosiderit,,,,,0,,0,,0,,7,,
234,Phosgenite,Fosgenit,,,,,0,,0,,0,,5,,
235,Fosterite,Fosterit,,,,,0,,0,,0,,8,,
