ID,aplikace,portable,platform,firma,web,popis,verze,kategorie,licence,testfield,aktualizovat
124,Rpmorphan,,lnx,,http://rpmorphan.sourceforge.net/,Clean system,,,,,0
125,Grsync,,lnx,,http://www.opbyte.it/grsync/,synchronizer,,,,,0
126,htop,,lnx,,http://hisham.hm/htop/,terminal monitor,,,,,0
127,Vim,,,,https://vim.sourceforge.io/,text editor,,1,,,0
128,4k Video Downloader,,uni,,https://www.4kdownload.com/downloads,download tool,,5,,,0
129,Dolibarr,,lnx,,https://www.dolibarr.org/,ERP,,,,,0
130,TraGtor,,lnx,,http://mein-neues-blog.de/tragtor-gui-for-ffmpeg/,video editor,,2,,,0
131,OFBIZ,,lnx,Apache,https://ofbiz.apache.org/,ERP,,,,,0
132,Koa11y,,lnx,,https://open-indy.github.io/Koa11y/,Analyze HTML,,4,0,,0
133,Webcamoid,,lnx,,https://webcamoid.github.io/,video manager,,2,,,0
134,inoERP,,lnx,,https://github.com/inoerp/inoERP,ERP,,,,,0
135,MP4Tools,,lnx,,https://sourceforge.net/projects/mp4joiner/,video editor,,2,,,0
136,Zurmo,,lnx,,http://zurmo.org/,CRM (Customer relations),,,,,0
137,WireShark,,uni,,https://www.wireshark.org,network monitor,,4,,,0
138,PyCharm,,uni,JetBrains,https://www.jetbrains.com/pycharm/,python IDE,,1,,,0
139,Visual Studio Code,0,uni,,https://code.visualstudio.com/,IDE,,,,,0
140,Franz,,uni,,https://meetfranz.com/#download,communication,,2,,,0
141,Talend Open Studio,,uni,,https://www.talend.com/download/talend-open-studio,ETL,,8,,,0
142,Dataiku,,uni,,https://www.dataiku.com/,ETL,,8,,,0
143,Pachyderm,,lnx,,https://www.pachyderm.io/,ETL,,8,,,0
144,Bigdata file viewer,,uni,,https://github.com/Eugene-Mark/bigdata-file-viewer/releases,database client,,8,,,0
145,Execute query,,lnx,,http://executequery.org/index.php,database client,,8,,,0
146,netdata,,lnx,,https://my-netdata.io/,Analyze infrastructure,,4,0,,0
147,Pi MusicBox,,lnx,,http://www.pimusicbox.com/,music streamer,,2,,,0
148,PDF Creator,,win,,http://www.pdfforge.org/pdfcreator,pdf editor,,1,,,0
149,Postman,,uni,,https://www.getpostman.com/,API developer,,,,,0
150,JDownloader,,uni,,http://jdownloader.org/,download tool,,5,,,0
151,TAD,,uni,,http://tadviewer.com/,CSV editor,,1,,,0
152,NetBeans,,uni,,https://netbeans.org/,IDE,,1,,,0
153,SQL Power Architect,,win,,http://software.sqlpower.ca/page/architect,ER Tool,,8,,,0
154,nnn,,lnx,,https://github.com/jarun/nnn,terminal manager,,,,,0
155,SiriKali,,lnx,,https://mhogomchungu.github.io/sirikali/,manager encrypted folder,,,,,0
156,Dianara,,lnx,,https://jancoding.wordpress.com/dianara/,social network decentralized,,,,,0
157,Cantata,,uni,,https://github.com/CDrummond/cantata/,media player,,2,,,0
158,FlatSiteBuilder,,uni,,https://github.com/Artanidos/FlatSiteBuilder,CMS,,,,,0
159,Netlify,,uni,,https://www.netlifycms.org/,CMS,,,,,0
160,Node-RED,,uni,,https://nodered.org/,programming tool,,,,,0
161,Subrion,,uni,,https://subrion.org/,CMS,,,,,0
162,Tagstoo,,lnx,,https://github.com/Pabloandumundu/Tagstoo,manager folder,,,,,0
163,QMapShack,,lnx,,https://bitbucket.org/maproom/qmapshack/wiki/Home,GIS,,3,,,0
164,Shallot,,uni,,https://pseudopolis.eu/wiki/pino/projs/shallot/index.html,manager files,,,,,0
165,Kalliope,,uni,,https://github.com/kalliope-project/kalliope,voice assistent,,2,,,0
166,CLEX,,lnx,,http://www.clex.sk/,terminal manager,,,,,0
167,GrabMyBooks,,and,,http://grabmybooks.com/,content grabber,,,,,0
168,Kismon,,lnx,,https://www.salecker.org/software/kismon.html,network monitor,,4,,,0
169,Ciano,,lnx,,https://robertsanseries.github.io/ciano/index.html,music convertor,,2,,,0
170,fzy,,lnx,,https://github.com/jhawthorn/fzy,terminal manager,,,,,0
171,BORG Calendar,,uni,,https://github.com/mikeberger/borg_calendar/releases,calendar,,,,,0
172,Fastoredis,,lnx,,http://fastoredis.com/,database client,,8,,,0
173,TrackYourTime,,uni,,https://github.com/Allexin/TrackYourTime,time tracker,,4,,,0
174,Mikidown,,lnx,,http://shadowkyogre.github.io/mikidown/,note taking markdown,,1,,,0
175,Sushi browser,,uni,,https://sushib.me/,browser,,,,,0
176,ImPack,,lnx,,https://sourceforge.net/projects/jm-impack/,crypting to images,,,,,0
177,ffx2642Gen,,lnx,,https://sourceforge.net/projects/ffx264/,video files encode,,2,,,0
178,WPA2Gen,,lnx,,https://sourceforge.net/projects/wpa2gen/,password generator,,7,,,0
179,Ábsrú CM,,lnx,,https://www.asbru-cm.net/,connection manager,,,,,0
180,Nixstaller,,lnx,,http://nixstaller.sourceforge.net/news.php,installer creator,,,,,0
181,S-TUI,,lnx,,https://amanusk.github.io/s-tui/,terminal monitor,,,,,0
182,Pacmanager,,lnx,,https://sourceforge.net/projects/pacmanager/,connection manager,,,,,0
183,atop,,lnx,,https://www.atoptool.nl/,terminal monitor,,,,,0
184,Subsurface,,uni,,https://subsurface-divelog.org/,diving,,,,,0
185,MathmMd,,lnx,,https://sourceforge.net/projects/mathmod/,modelling,,4,,,0
186,Playscii,,uni,,http://vectorpoem.com/playscii/,animation,,2,,,0
187,MellowPlayer,,uni,,https://colinduquesnoy.github.io/MellowPlayer/,music player cloud,,2,,,0
188,Periodic Table,,lnx,,https://rudrab.github.io/PeriodicTable/,chemistry,,,,,0
189,Praat,,lnx,,http://www.fon.hum.uva.nl/praat/,speech analyzer,,2,,,0
190,Beast,,lnx,,https://beast.testbit.org/,syntetizer,,2,,,0
191,Veles,,uni,,https://codisec.com/veles/,hex editor advanced,,1,,,0
192,gtop,,uni,,https://github.com/aksakalli/gtop,terminal monitor,,,,,0
193,Tabula,,uni,,http://tabula.technology/,pdf tabular extractor,,1,,,0
194,Translate Shell,,lnx,,https://www.soimort.org/translate-shell/,command line translator,,1,,,0
195,GapMea,,uni,,https://github.com/gthom/gapMea,database design,,8,,,0
196,ksnip,,lnx,,https://github.com/damirporobic/ksnip,screenshot,,2,,,0
