ID,name_lat,alts,name_cz,name_sk,Nazev_lidovy,Celed,Vyznam,Obrazek,Botanik_char,Oblast,Narok_char,Sklizen_uprava,Uziti,Uzitek,Typ,Barva,Temp
1889,Magnolia acuminata (L.) L.,,šácholan zašpičatělý,,,Magnoliaceae,0,,,,,,,,,,Magnoliaceae
1890,Magnolia kobus DC.,,šácholan japonský,,,Magnoliaceae,0,,,,,,,,,,Magnoliaceae
1891,Magnolia hypoleuca (L.) L.,Syn.: Magnolia obovata Thunb.,šácholan obvejčitý,,,Magnoliaceae,0,,,,,,,,,,Magnoliaceae
1892,Magnolia stellata (Siebold et Zucc.) Maxim.,,šácholan hvězdovitý,,,Magnoliaceae,0,,,,,,,,,,Magnoliaceae
1893,Magnolia ´soulangeana Soul.-Bod.,,šácholan soulangeův,,,Magnoliaceae,0,,,,,,,,,,Magnoliaceae
1894,Mahonia aquifolium (Pursh) Nutt.,,mahónie cesmínolistá,,,Berberidaceae,0,,,,,,,,,,Berberidaceae
1895,Maianthemum bifolium (L.) F.W. Schmidt,,pstroček dvoulistý,,,Asparagaceae,0,,,,,,,,,,Asparagaceae
1896,Majorana hortensis Moench,,majoránka zahradní,Majorán záhradný,"dobrá mysl, dobromyslo, dobromysl voněkras, maděránek, majorán, majorán vytrvalý, mariánka, marjánka, voněkras",Lamiaceae,1,,,,,,,,,#ffffff,Lamiaceae
1897,Malaxis monophyllos (L.) Sw.,,měkčilka jednolistá,,,Orchidaceae,0,,,,,,,,,,Orchidaceae
1898,Malcolmia bicolor Boiss. et Heldr.,,večernička dvoubarvá,,,Brassicaceae,0,,,,,,,,,,Brassicaceae
1899,Malcolmia chia (L.) DC.,,večernička chioská,,,Brassicaceae,0,,,,,,,,,,Brassicaceae
1900,Malcolmia maritima (L.) R. Br.,,večernička přímořská,,,Brassicaceae,0,,,,,,,,,,Brassicaceae
1901,Malope trifida Cav.,,slézovka trojklaná,,,Malvaceae,0,,,,,,,,,,Malvaceae
1902,Malus baccata (L.) Borkh.,,jabloň drobnoplodá,,,Rosaceae,0,,,,,,,,,,Rosaceae
1903,Malus domestica Borkh.,,jabloň domácí,,,Rosaceae,0,,,,,,,,,,Rosaceae
1904,Malus floribunda Van Houtte,,jabloň mnohokvětá,,,Rosaceae,0,,,,,,,,,,Rosaceae
1905,Malus sylvestris Mill.,,jabloň lesní,,,Rosaceae,0,,,,,,,,,,Rosaceae
1906,Malus ´ purpurea (Barbier et al.) Rehder,(Malus ´atrosanguinea ´ M. niedzwetzkyana),jabloň purpurová,,,Rosaceae,0,,,,,,,,,,Rosaceae
1907,Malva alcea L. ,Syn.: Bismalva alcea (L.) Medik.,"sléz velkokvětý (sléz léčivý, slézovník velkokvětý)",,,Malvaceae,0,,,,,,,,,,Malvaceae
1908,Malva crispa (L.) L.,,sléz kadeřavý,,,Malvaceae,0,,,,,,,,,,Malvaceae
1909,Malva moschata L.,Syn.: Bismalva moschata (L.) Medik.,sléz pižmový (slézovník pižmový),,,Malvaceae,0,,,,,,,,,,Malvaceae
1910,Malva neglecta Wallr.,,sléz přehlížený,Slez nebadaný,,Malvaceae,0,,,,,,,,,#990000,Malvaceae
1911,Malva parviflora L.,,sléz malokvětý,,,Malvaceae,0,,,,,,,,,,Malvaceae
1912,Malva pusilla Sm.,,sléz nizounký,,,Malvaceae,0,,,,,,,,,,Malvaceae
1913,Malva sylvestris L.,,sléz lesní,Slez lesný,,Malvaceae,0,,,,,,,,,#800080#990000,Malvaceae
1914,Malva verticillata L.,,sléz přeslenitý,,,Malvaceae,0,,,,,,,,,,Malvaceae
1915,Mantisalca salmantica (L.) Briq. ,,hispanka prutnatá,,,Asteraceae,0,,,,,,,,,,Asteraceae
1916,Marrubium vulgare L.,,jablečník obecný,Jablčník obyčajný,"buřina bílá, jablečník vonný, jablounka, klas vonný, kles, samaritánka, šedivka zelená, zelina šedivá, dunda, jablounek klas",Lamiaceae,1,,,,,,,,,#ffffff,Lamiaceae
1917,Matricaria discoidea DC. ,Syn.: Chamomilla suaveolens (Pursh) Rydb.,heřmánek terčovitý,,,Asteraceae,0,,,,,,,,,,Asteraceae
1918,Matricaria recutita L. ,"Syn.: Chamomilla recutita (L.) Rauschert, Matricaria chamomilla auct. ",heřmánek pravý,Rumanček pravý,"heřmánek římský, heřmánek štěpný, heřmánek veliký, heřmánek vlašský, rmen římský, rmen vlašský, rmen vzácný, římský kmín, harmaníček, heřmánek malý, heřmánek obyčejný, heřmánek polní, kamilky, ománek, rumánek, rmen voňavý, jahodníček, kamilka, králíčky",Asteraceae,1,,,,,,,,,#ffffff,Asteraceae
1919,Matteuccia struthiopteris (L.) Tod.,,pérovník pštrosí,,,Onocleaceae,0,,,,,,,,,,Onocleaceae
1920,Matthiola incana (L.) W.T. Aiton,,fiala šedivá,,,Brassicaceae,0,,,,,,,,,,Brassicaceae
