ID,AN,ZN,CZ,EN,LA,Typ,Conf,OxSt,Clark,BT,BT_tol,BV,BV_tol,DN,Hust,Stav,Vaha,Elneg,Skup,Perio,Izotop,Objev
25,25,Mn,Mangan,Manganum,Manganum,,[Ar],"0,2,3,4,6,7","1,0.10E3",1244,3,1962,,,,(s),54.938045,1.6,7b,4,,1774
26,26,Fe,Železo,Ferrum,Ferrum,,[Ar],"0,2,3,4,6","5,0.10E4",1535,,2750,,,,(s),55.845,1.6,8b,4,,
27,27,Co,Kobalt,Cobaltum,Cobaltum,,[Ar],"0,2,3",21,1495,,2870,,,,(s),58.933195,1.7,8b,4,,1735
28,28,Ni,Nikl,Niccolum,Niccolum,,[Ar],"0,1,2,3,4",60,1453,,2732,,,,(s),58.69339999999999,1.7,8b,4,,1751
29,29,Cu,Měď,Cuprum,Cuprum,,[Ar],"0,1,2,3","1,9.10E4",1083.4,0.2,2567,,,,(s),63.546,1.7,1b,4,,
30,30,Zn,Zinek,Zincum,Zincum,,[Ar],"0,2",80,419.58,,907,,,,(s),65.38,1.7,2b,4,,
31,31,Ga,Gallium,Gallium,Gallium,,[Ar],"0,1,3",17,29.78,,2403,,,,(s),69.723,1.8,3a,4,,1875
32,32,Ge,Germanium,Germanium,Germanium,,[Ar],"0,2,4","1,4",937.4,,2830,,,,(s),72.64,2,4a,4,,1886
33,33,As,Arzén,Arsenicum,Arsenicum,,[Ar],"-3,0,3,5","1,7",817,,613,,,5720,(s),74.9216,2.2,5a,4,,
34,34,Se,Selen,Selenium,Selenium,,[Ar],"-2,0,4,6","0,05",217,,685,,,,(s),78.96,2.5,6a,4,,1817
35,35,Br,Bróm,Bromum,Bromum,,[Ar],"-1,0,1,3,5,7",2,-7.2,,58.78,,,,(l),79.90399999999998,2.7,7a,4,,1826
36,36,Kr,Krypton,Krypton,Krypton,,3d10-4s2-4p6,0,,156.59999999999997,,152.30000000000004,,,,(g),83.79799999999999,,8a,4,,1898
37,37,Rb,Rubidium,Rubidium,Rubidium,,[Kr],"0,1",120,38.89,,686,,,,(s),85.4678,0.89,1a,5,,1861
38,38,Sr,Stroncium,Strontium,Strontium,,[Kr],"0,2",340,769,,1384,,,,(s),87.62,0.99,2a,5,,1808
39,39,Y,Yttrium,Yttrium,Yttrium,,[Kr],"0,3",29,1523,8,3337,,,,(s),88.90585,1.1,3b,5,,1843
40,40,Zr,Zirkonium,Zirconium,Zirconium,,[Kr],"0,2,3,4",170,1852,2,4377,,,,(s),91.22400000000002,1.2,4b,5,,1789
